"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"15936","W.L.O. Sekai Renai Kikousen","X360","2010","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15937","New Interpretation Stranger of Sword City","PSV","2016","Role-Playing","Experience Inc.",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15940","Joint Operations: Combined Arms","PC","2009","Shooter","NovaLogic",0.01,0,0,0,0.02,NA,NA,1,NA,"",""
"15941","Kadenz fermata//Akkord:fortissimo","PSV","2014","Adventure","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15943","Poupee Girl DS 2: Elegant Mint / Sweet Pink Style","DS","2010","Misc","Alvion",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15944","Dancing on Ice","DS","2010","Sports","Ghostlight",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"15946","Professional Farmer 2016","PS4","2015","Action","Namco Bandai Games",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"15947","Sarah: Keeper of the Unicorn","DS","2009","Adventure","DreamCatcher Interactive",0.01,0,0,0,0.02,NA,NA,97,NA,"",""
"15948","Storm Lover 2nd","PSP","2013","Misc","D3Publisher",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15951","Dragon's Dogma Online: Season 2","PS4","2016","Action","Capcom",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15952","Gaist Crusher God","3DS","2014","Action","Capcom",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15953","DJ Star","DS","2009","Misc","Deep Silver",0.01,0,0,0,0.02,66,7,97,NA,"Game Life","T"
"15954","Arcana Famiglia 2","PSP","2013","Adventure","Comfort",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15958","Kiss Bell","PSV","2014","Adventure","Giga",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15961","Shin Sangoku Musou Online: Souten Ranbu","PS3","2010","Action","Tecmo Koei",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15964","Majesty 2: The Fantasy Kingdom Sim","PC","2009","Simulation","Paradox Interactive",0.01,0,0,0,0.02,72,31,72,129,"1C, Ino-Co, 1C Company","T"
"15970","Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao + Maguro Densetsu Portable","PSP","2010","Misc","Paon",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15971","PachiPara 3D","3DS","2011","Misc","Irem Software Engineering",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15973","I Doll U","PSV","2015","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15975","Sengoku Hime: Senran ni Mau Otometachi","PS2","2009","Adventure","Yeti",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15976","GTI Club: Supermini Festa!","Wii","2010","Racing","Konami Digital Entertainment",0.01,0,0,0,0.02,NA,NA,1,NA,"",""
